internship_id,title,required_skills,qualification_required,location,sector,capacity,priority_category
I0252,Soil Testing Intern,crop management farm analytics irrigation planning organic farming soil testing,B.Sc Agriculture,Delhi,agriculture,12,SC
I0253,AgriTech Intern,crop management irrigation planning soil testing,B.Sc Agriculture,Jaipur,agriculture,21,Rural
I0254,Clinical Assistant Intern,clinical procedures medical research nursing patient care,BDS,Chennai,healthcare,36,SC
I0255,Soil Testing Intern,crop management farm analytics organic farming soil testing,B.Sc Agriculture,Delhi,agriculture,23,EWS
I0256,Teaching Assistant Intern,content writing curriculum design mentoring teaching,M.Sc Nursing,Pune,education,9,
I0257,Agriculture Field Intern,crop management farm analytics irrigation planning organic farming soil testing,B.Sc Agriculture,Bangalore,agriculture,50,ST
I0258,Teaching Assistant Intern,content writing curriculum design instructional design mentoring teaching,BDS,Kolkata,education,49,EWS
I0259,Graphic Design Intern,figma photoshop,BCA,Bangalore,design,18,SC
I0260,AI Engineer Intern,deep learning machine learning sql,B.Tech CSE,Kolkata,aiml,27,ST
I0261,Soil Testing Intern,organic farming soil testing,B.Sc Agriculture,Hyderabad,agriculture,20,EWS
I0262,Clinical Assistant Intern,clinical procedures first aid medical research nursing patient care,MBBS,Hyderabad,healthcare,31,ST
I0263,AgriTech Intern,farm analytics irrigation planning organic farming soil testing,B.Tech Civil,Kolkata,agriculture,40,ST
I0264,Video Editing Intern,figma illustrator photoshop uiux design video editing,B.Sc CS,Mumbai,design,16,EWS
I0265,SEO Intern,sales social media,BBA,Kolkata,marketing,28,SC
I0266,Digital Marketing Intern,digital marketing market research social media,LLB,Bangalore,marketing,50,
I0267,Risk Analyst Intern,accounting budgeting excel financial analysis risk analysis,MBA,Hyderabad,finance,23,ST
I0268,Data Analyst Intern,etl excel python statistics,B.Tech CSE,Chennai,data science,27,
I0269,Software Developer Intern,html java javascript react sql,BCA,Hyderabad,software,17,Rural
I0270,Sales & Growth Intern,digital marketing market research seo sales social media,B.Des,Hyderabad,marketing,12,EWS
I0271,SEO Intern,market research social media,LLB,Delhi,marketing,27,ST
I0272,Data Scientist Intern,data analysis deep learning pytorch python sql,B.Sc CS,Mumbai,aiml,44,SC
I0273,EdTech Content Intern,content writing curriculum design instructional design teaching,BBA,Hyderabad,education,36,SC
I0274,QA Intern,css java,BCA,Hyderabad,software,13,Rural
I0275,ETL Intern,etl excel power bi sql statistics,B.Tech CSE,Hyderabad,data science,19,SC
I0276,Sales & Growth Intern,digital marketing market research sales,MBA,Bangalore,marketing,36,ST
I0277,Production Intern,cad electrical circuits production planning,B.Tech Civil,Delhi,manufacturing,12,EWS
I0278,Clinical Assistant Intern,clinical procedures first aid medical research nursing,BDS,Kolkata,healthcare,13,Rural
I0279,Agriculture Field Intern,crop management farm analytics irrigation planning organic farming soil testing,B.Sc Agriculture,Hyderabad,agriculture,39,EWS
I0280,Digital Marketing Intern,digital marketing social media,BBA,Hyderabad,marketing,23,ST
I0281,Backend Developer Intern,css git html,B.Tech CSE,Bangalore,software,49,EWS
I0282,Business Intelligence Intern,data analysis etl power bi python sql,B.Tech Civil,Kolkata,data science,9,Rural
I0283,Finance Analyst Intern,budgeting excel risk analysis,M.Com,Hyderabad,finance,48,ST
I0284,Sales & Growth Intern,market research seo sales social media,MBA,Hyderabad,marketing,23,SC
I0285,Digital Marketing Intern,digital marketing seo sales social media,MBA,Delhi,marketing,20,EWS
I0286,Video Editing Intern,figma photoshop video editing,B.Sc CS,Bangalore,design,32,EWS
I0287,Sales & Growth Intern,digital marketing market research seo social media,BBA,Kolkata,marketing,49,
I0288,Soil Testing Intern,crop management farm analytics irrigation planning organic farming soil testing,B.Sc Agriculture,Chennai,agriculture,29,ST
I0289,Instructional Design Intern,curriculum design mentoring,MBBS,Pune,education,46,Rural
I0290,Soil Testing Intern,irrigation planning organic farming,B.Sc Agriculture,Pune,agriculture,47,Rural
I0291,Instructional Design Intern,curriculum design instructional design mentoring,BDS,Hyderabad,education,41,Rural
I0292,Software Developer Intern,css git sql,B.Tech CSE,Mumbai,software,45,
I0293,Accounting Intern,accounting excel risk analysis,B.Com,Chennai,finance,7,
I0294,Backend Developer Intern,c css git javascript sql,B.Tech CSE,Jaipur,software,5,ST
I0295,Finance Analyst Intern,accounting budgeting excel financial analysis risk analysis,BBA,Bangalore,finance,44,ST
I0296,Finance Analyst Intern,accounting budgeting financial analysis,MBA,Delhi,finance,21,ST
I0297,Data Analyst Intern,power bi python sql statistics,B.Tech ECE,Chennai,data science,20,
I0298,QA Intern,css nodejs,B.Tech CSE,Hyderabad,software,27,ST
I0299,Data Analyst Intern,etl excel sql statistics,B.Tech ECE,Delhi,data science,5,EWS
I0300,EdTech Content Intern,content writing instructional design mentoring teaching,MBA,Pune,education,30,Rural
I0301,Paralegal Intern,contract review drafting,LLB,Mumbai,law,33,Rural
I0302,Legal Research Intern,case summaries contract review drafting,LLB,Chennai,law,31,
I0303,Risk Analyst Intern,accounting budgeting excel financial analysis risk analysis,MBA,Chennai,finance,16,Rural
I0304,Sales & Growth Intern,market research seo sales,BBA,Kolkata,marketing,23,Rural
I0305,Software Developer Intern,html nodejs react sql,MCA,Kolkata,software,11,Rural
I0306,Risk Analyst Intern,accounting budgeting excel financial analysis risk analysis,B.Com,Jaipur,finance,26,EWS
I0307,UI/UX Intern,illustrator photoshop uiux design video editing,B.Sc CS,Bangalore,design,50,EWS
I0308,AI Engineer Intern,machine learning tensorflow,B.Tech CSE,Mumbai,aiml,49,SC
I0309,Contract Review Intern,contract review drafting,LLB,Pune,law,27,Rural
I0310,EdTech Content Intern,content writing curriculum design mentoring,MBBS,Pune,education,37,Rural
I0311,Medical Research Intern,clinical procedures first aid medical research nursing patient care,BDS,Kolkata,healthcare,23,
I0312,AI Engineer Intern,machine learning sql tensorflow,BCA,Bangalore,aiml,34,Rural
I0313,Data Scientist Intern,machine learning tensorflow,B.Sc CS,Kolkata,aiml,44,ST
I0314,Paralegal Intern,case summaries contract review legal research,LLB,Chennai,law,24,EWS
I0315,Production Intern,cad electrical circuits mechanical design production planning quality control,B.Tech Civil,Pune,manufacturing,10,SC
I0316,Frontend Developer Intern,javascript react,MCA,Jaipur,software,14,SC
I0317,Soil Testing Intern,crop management farm analytics irrigation planning organic farming soil testing,B.Tech Civil,Bangalore,agriculture,50,
I0318,Video Editing Intern,photoshop video editing,B.Des,Mumbai,design,29,
I0319,Instructional Design Intern,content writing curriculum design instructional design mentoring,MBBS,Delhi,education,40,Rural
I0320,Sales & Growth Intern,digital marketing market research,B.Sc Agriculture,Pune,marketing,43,Rural
I0321,Accounting Intern,accounting budgeting excel financial analysis risk analysis,M.Com,Hyderabad,finance,41,EWS
I0322,Data Analyst Intern,data analysis excel,B.Sc CS,Hyderabad,data science,9,Rural
I0323,Data Analyst Intern,data analysis power bi python sql,B.Tech Mechanical,Bangalore,data science,22,Rural
I0324,Mechanical Design Intern,cad electrical circuits mechanical design production planning quality control,B.Tech ECE,Bangalore,manufacturing,33,
I0325,Legal Research Intern,case summaries contract review drafting legal research,LLB,Bangalore,law,6,SC
I0326,Graphic Design Intern,figma illustrator photoshop uiux design video editing,B.Des,Chennai,design,21,SC
I0327,Teaching Assistant Intern,curriculum design instructional design teaching,BBA,Jaipur,education,14,EWS
I0328,Data Analyst Intern,excel python,B.Sc Agriculture,Bangalore,data science,40,EWS
I0329,Video Editing Intern,illustrator uiux design video editing,B.Sc CS,Kolkata,design,14,Rural
I0330,Sales & Growth Intern,digital marketing sales social media,MBA,Jaipur,marketing,30,Rural
I0331,Digital Marketing Intern,seo sales,MBA,Chennai,marketing,31,SC
I0332,Risk Analyst Intern,budgeting excel financial analysis risk analysis,M.Com,Jaipur,finance,29,SC
I0333,Data Scientist Intern,pytorch python,B.Tech Mechanical,Delhi,aiml,39,ST
I0334,Digital Marketing Intern,digital marketing seo sales,BCA,Jaipur,marketing,19,
I0335,Agriculture Field Intern,irrigation planning organic farming,B.Sc Agriculture,Jaipur,agriculture,37,Rural
I0336,Paralegal Intern,case summaries contract review,LLB,Jaipur,law,50,EWS
I0337,Data Analyst Intern,data analysis etl python sql,B.Sc CS,Bangalore,data science,27,ST
I0338,AI Engineer Intern,deep learning python sql,B.Tech Mechanical,Chennai,aiml,22,SC
I0339,Contract Review Intern,case summaries contract review drafting legal research,LLB,Jaipur,law,36,
I0340,Clinical Assistant Intern,clinical procedures nursing patient care,MBBS,Pune,healthcare,36,EWS
I0341,Agriculture Field Intern,crop management farm analytics irrigation planning organic farming soil testing,B.Sc Agriculture,Delhi,agriculture,10,
I0342,QA Intern,css react,B.Tech CSE,Jaipur,software,29,EWS
I0343,EdTech Content Intern,instructional design mentoring teaching,BDS,Kolkata,education,48,ST
I0344,Contract Review Intern,case summaries contract review legal research,LLB,Pune,law,14,
I0345,Accounting Intern,accounting budgeting financial analysis risk analysis,M.Com,Chennai,finance,44,ST
I0346,Teaching Assistant Intern,content writing curriculum design instructional design teaching,BBA,Pune,education,37,EWS
I0347,Instructional Design Intern,content writing curriculum design instructional design mentoring teaching,MBBS,Pune,education,20,
I0348,Legal Research Intern,case summaries contract review drafting legal research,LLB,Bangalore,law,14,
I0349,Data Scientist Intern,data analysis deep learning machine learning tensorflow,B.Tech Mechanical,Kolkata,aiml,46,
I0350,ETL Intern,data analysis etl sql statistics,B.Com,Chennai,data science,46,SC
I0351,Sales & Growth Intern,seo social media,BBA,Kolkata,marketing,20,
I0352,Data Analyst Intern,power bi sql statistics,M.Tech,Pune,data science,5,
I0353,ML Research Intern,data analysis deep learning sql tensorflow,M.Tech,Delhi,aiml,15,
I0354,Video Editing Intern,figma illustrator photoshop uiux design,B.Tech Mechanical,Bangalore,design,43,
I0355,Contract Review Intern,case summaries contract review legal research,LLB,Delhi,law,34,ST
I0356,Contract Review Intern,contract review legal research,LLB,Jaipur,law,8,SC
I0357,Paralegal Intern,case summaries drafting,LLB,Delhi,law,7,Rural
I0358,Finance Analyst Intern,accounting budgeting excel financial analysis risk analysis,M.Com,Kolkata,finance,29,Rural
I0359,Soil Testing Intern,farm analytics irrigation planning soil testing,B.Sc Agriculture,Delhi,agriculture,31,Rural
I0360,Backend Developer Intern,c react sql spring boot,BCA,Chennai,software,42,SC
I0361,Agriculture Field Intern,crop management farm analytics organic farming soil testing,B.Tech Civil,Hyderabad,agriculture,29,EWS
I0362,Data Scientist Intern,data analysis machine learning pytorch sql tensorflow,BCA,Pune,aiml,27,
I0363,Legal Research Intern,case summaries contract review drafting legal research,LLB,Delhi,law,13,EWS
I0364,Finance Analyst Intern,budgeting risk analysis,B.Com,Pune,finance,23,EWS
I0365,Contract Review Intern,case summaries contract review drafting legal research,LLB,Hyderabad,law,14,SC
I0366,Frontend Developer Intern,c nodejs,BCA,Kolkata,software,10,SC
I0367,Data Scientist Intern,deep learning machine learning python tensorflow,BCA,Delhi,aiml,31,Rural
I0368,Mechanical Design Intern,mechanical design production planning quality control,B.Tech ECE,Jaipur,manufacturing,35,ST
I0369,Frontend Developer Intern,c css html,B.Tech CSE,Kolkata,software,44,SC
I0370,AgriTech Intern,crop management soil testing,B.Sc Agriculture,Hyderabad,agriculture,29,
I0371,Legal Research Intern,case summaries contract review drafting legal research,LLB,Mumbai,law,21,Rural
I0372,UI/UX Intern,figma illustrator uiux design,B.Des,Hyderabad,design,33,Rural
I0373,Risk Analyst Intern,accounting budgeting excel risk analysis,B.Com,Kolkata,finance,5,Rural
I0374,AI Engineer Intern,machine learning python,BCA,Delhi,aiml,36,ST
I0375,Graphic Design Intern,figma photoshop,B.Des,Hyderabad,design,14,ST
I0376,Data Analyst Intern,data analysis etl power bi python,BCA,Kolkata,data science,45,
I0377,Business Intelligence Intern,data analysis etl python sql statistics,B.Sc CS,Chennai,data science,20,ST
I0378,AgriTech Intern,farm analytics irrigation planning organic farming soil testing,B.Sc Agriculture,Hyderabad,agriculture,34,Rural
I0379,Risk Analyst Intern,accounting budgeting excel financial analysis risk analysis,B.Com,Chennai,finance,7,
I0380,Software Developer Intern,c git java javascript,BCA,Kolkata,software,20,ST
I0381,Soil Testing Intern,crop management irrigation planning organic farming soil testing,B.Sc Agriculture,Pune,agriculture,27,Rural
I0382,Production Intern,cad electrical circuits mechanical design production planning quality control,B.Tech Mechanical,Jaipur,manufacturing,21,Rural
I0383,Production Intern,mechanical design production planning,B.Tech Civil,Mumbai,manufacturing,24,Rural
I0384,Medical Research Intern,first aid medical research nursing,M.Sc Nursing,Chennai,healthcare,18,EWS
I0385,Risk Analyst Intern,accounting budgeting financial analysis,M.Com,Bangalore,finance,31,Rural
I0386,Software Developer Intern,css git java spring boot,B.Tech ECE,Delhi,software,25,EWS
I0387,Paralegal Intern,contract review drafting,LLB,Hyderabad,law,42,
I0388,UI/UX Intern,figma photoshop uiux design,B.Tech Mechanical,Hyderabad,design,30,
I0389,Finance Analyst Intern,excel risk analysis,MBA,Jaipur,finance,41,Rural
I0390,Digital Marketing Intern,digital marketing market research seo sales social media,MBA,Kolkata,marketing,31,SC
I0391,Quality Control Intern,cad electrical circuits mechanical design production planning quality control,B.Tech Mechanical,Mumbai,manufacturing,17,
I0392,Graphic Design Intern,figma illustrator photoshop uiux design,B.Des,Chennai,design,27,ST
I0393,UI/UX Intern,figma illustrator photoshop,B.Des,Hyderabad,design,8,SC
I0394,ML Research Intern,data analysis python,BCA,Bangalore,aiml,25,Rural
I0395,Business Intelligence Intern,data analysis excel,MCA,Hyderabad,data science,48,Rural
I0396,AI Engineer Intern,machine learning pytorch python sql tensorflow,BCA,Jaipur,aiml,12,SC
I0397,Paralegal Intern,case summaries contract review legal research,LLB,Kolkata,law,23,SC
I0398,Digital Marketing Intern,seo sales,MBA,Mumbai,marketing,34,Rural
I0399,Risk Analyst Intern,budgeting excel financial analysis,B.Com,Kolkata,finance,9,ST
I0400,Video Editing Intern,photoshop uiux design video editing,B.Des,Hyderabad,design,38,SC
I0401,SEO Intern,sales social media,M.Com,Jaipur,marketing,41,
I0402,EdTech Content Intern,content writing curriculum design teaching,M.Sc Nursing,Mumbai,education,41,Rural
I0403,Accounting Intern,accounting excel,M.Com,Mumbai,finance,39,EWS
I0404,Risk Analyst Intern,financial analysis risk analysis,B.Com,Jaipur,finance,12,ST
I0405,Quality Control Intern,cad electrical circuits mechanical design production planning,B.Tech Mechanical,Jaipur,manufacturing,18,SC
I0406,Accounting Intern,accounting budgeting excel financial analysis,B.Com,Jaipur,finance,24,Rural
I0407,Agriculture Field Intern,farm analytics organic farming soil testing,B.Sc Agriculture,Hyderabad,agriculture,13,
I0408,Paralegal Intern,case summaries contract review,LLB,Delhi,law,8,EWS
I0409,Agriculture Field Intern,crop management soil testing,B.Tech Civil,Pune,agriculture,46,Rural
I0410,Frontend Developer Intern,c nodejs react sql,B.Tech CSE,Mumbai,software,10,EWS
I0411,SEO Intern,market research seo sales,BBA,Jaipur,marketing,15,ST
I0412,Instructional Design Intern,content writing curriculum design instructional design teaching,BDS,Hyderabad,education,35,
I0413,EdTech Content Intern,content writing teaching,BDS,Hyderabad,education,6,
I0414,Agriculture Field Intern,irrigation planning organic farming soil testing,B.Sc Agriculture,Pune,agriculture,19,Rural
I0415,Instructional Design Intern,content writing teaching,MBA,Jaipur,education,32,SC
I0416,Agriculture Field Intern,crop management farm analytics irrigation planning organic farming soil testing,B.Sc Agriculture,Jaipur,agriculture,34,SC
I0417,Graphic Design Intern,figma illustrator photoshop video editing,B.Tech Civil,Mumbai,design,10,EWS
I0418,Digital Marketing Intern,digital marketing market research seo sales social media,BBA,Kolkata,marketing,44,SC
I0419,Paralegal Intern,case summaries contract review drafting legal research,LLB,Chennai,law,8,EWS
I0420,Finance Analyst Intern,accounting budgeting excel financial analysis risk analysis,M.Com,Mumbai,finance,32,
I0421,Clinical Assistant Intern,clinical procedures first aid nursing patient care,BDS,Delhi,healthcare,45,
I0422,Business Intelligence Intern,etl power bi statistics,M.Tech,Chennai,data science,33,EWS
I0423,Accounting Intern,excel risk analysis,BBA,Kolkata,finance,40,ST
I0424,ETL Intern,data analysis etl excel power bi,B.Tech CSE,Mumbai,data science,42,
I0425,Contract Review Intern,case summaries contract review drafting legal research,LLB,Bangalore,law,43,Rural
I0426,Teaching Assistant Intern,content writing curriculum design instructional design mentoring teaching,MBA,Bangalore,education,38,SC
I0427,Clinical Assistant Intern,clinical procedures first aid nursing,M.Sc Nursing,Bangalore,healthcare,21,SC
I0428,Business Intelligence Intern,etl excel power bi sql,B.Tech CSE,Jaipur,data science,38,EWS
I0429,Clinical Assistant Intern,clinical procedures first aid medical research nursing patient care,BDS,Pune,healthcare,49,
I0430,Instructional Design Intern,content writing curriculum design instructional design mentoring,MBA,Chennai,education,19,SC
I0431,ML Research Intern,data analysis pytorch,M.Tech,Bangalore,aiml,42,SC
I0432,Quality Control Intern,electrical circuits mechanical design production planning quality control,B.Tech Mechanical,Jaipur,manufacturing,49,
I0433,Quality Control Intern,production planning quality control,B.Tech ECE,Delhi,manufacturing,8,SC
I0434,Teaching Assistant Intern,content writing curriculum design instructional design mentoring teaching,MBA,Pune,education,46,
I0435,ML Research Intern,data analysis machine learning pytorch python sql,BCA,Chennai,aiml,14,EWS
I0436,Business Intelligence Intern,data analysis excel power bi sql statistics,M.Tech,Jaipur,data science,31,ST
I0437,Graphic Design Intern,figma illustrator photoshop uiux design video editing,B.Tech Mechanical,Pune,design,19,EWS
I0438,AgriTech Intern,crop management farm analytics organic farming soil testing,B.Sc Agriculture,Mumbai,agriculture,22,
I0439,Finance Analyst Intern,accounting budgeting excel financial analysis risk analysis,M.Com,Pune,finance,12,EWS
I0440,Soil Testing Intern,crop management farm analytics organic farming,B.Sc Agriculture,Mumbai,agriculture,24,SC
I0441,Data Scientist Intern,data analysis deep learning machine learning sql tensorflow,BCA,Kolkata,aiml,44,ST
I0442,AI Engineer Intern,deep learning machine learning python,B.Tech ECE,Bangalore,aiml,18,
I0443,Teaching Assistant Intern,content writing curriculum design mentoring,M.Sc Nursing,Mumbai,education,22,EWS
I0444,Legal Research Intern,contract review drafting,LLB,Kolkata,law,18,EWS
I0445,Backend Developer Intern,c css git java react,MCA,Hyderabad,software,19,Rural
I0446,Digital Marketing Intern,digital marketing market research sales social media,B.Com,Hyderabad,marketing,32,
I0447,SEO Intern,digital marketing market research social media,MBA,Kolkata,marketing,31,SC
I0448,EdTech Content Intern,content writing curriculum design instructional design,MBBS,Kolkata,education,36,
I0449,Medical Research Intern,first aid medical research nursing patient care,M.Sc Nursing,Chennai,healthcare,29,ST
I0450,Digital Marketing Intern,digital marketing seo,MBA,Hyderabad,marketing,30,EWS
I0451,Clinical Assistant Intern,clinical procedures first aid nursing patient care,M.Sc Nursing,Mumbai,healthcare,5,SC
I0452,Patient Care Intern,clinical procedures first aid patient care,M.Sc Nursing,Jaipur,healthcare,13,ST
I0453,Accounting Intern,accounting budgeting risk analysis,BBA,Kolkata,finance,44,Rural
I0454,ML Research Intern,machine learning sql,M.Tech,Hyderabad,aiml,48,EWS
I0455,Legal Research Intern,case summaries contract review drafting legal research,LLB,Bangalore,law,16,SC
I0456,Instructional Design Intern,content writing instructional design mentoring,MBA,Chennai,education,45,EWS
I0457,Data Scientist Intern,data analysis machine learning sql tensorflow,MCA,Kolkata,aiml,31,Rural
I0458,Paralegal Intern,drafting legal research,LLB,Hyderabad,law,31,Rural
I0459,Finance Analyst Intern,budgeting risk analysis,B.Com,Hyderabad,finance,24,SC
I0460,Video Editing Intern,figma illustrator photoshop uiux design video editing,B.Des,Bangalore,design,40,ST
I0461,Patient Care Intern,medical research nursing patient care,MBBS,Delhi,healthcare,12,Rural
I0462,UI/UX Intern,figma illustrator photoshop uiux design,B.Tech Civil,Chennai,design,14,Rural
I0463,Contract Review Intern,case summaries contract review drafting legal research,LLB,Bangalore,law,20,SC
I0464,Frontend Developer Intern,html react,BCA,Chennai,software,38,SC
I0465,Quality Control Intern,cad production planning,B.Tech ECE,Hyderabad,manufacturing,47,ST
I0466,UI/UX Intern,figma illustrator photoshop uiux design video editing,BCA,Delhi,design,13,EWS
I0467,ETL Intern,data analysis etl power bi python statistics,B.Tech CSE,Mumbai,data science,29,SC
I0468,Medical Research Intern,first aid nursing patient care,MBBS,Mumbai,healthcare,18,EWS
I0469,Sales & Growth Intern,digital marketing market research seo sales,M.Com,Jaipur,marketing,44,SC
I0470,Graphic Design Intern,figma illustrator photoshop uiux design video editing,B.Tech Civil,Pune,design,49,Rural
I0471,Graphic Design Intern,figma illustrator photoshop uiux design video editing,B.Des,Mumbai,design,20,ST
I0472,Video Editing Intern,figma illustrator photoshop uiux design video editing,B.Sc CS,Chennai,design,7,EWS
I0473,Contract Review Intern,case summaries contract review drafting legal research,LLB,Bangalore,law,22,Rural
I0474,Teaching Assistant Intern,mentoring teaching,BDS,Hyderabad,education,6,EWS
I0475,Business Intelligence Intern,data analysis etl power bi python sql,MCA,Chennai,data science,21,Rural
I0476,Sales & Growth Intern,digital marketing market research seo sales social media,B.Des,Pune,marketing,19,EWS
I0477,AgriTech Intern,crop management irrigation planning,B.Tech Civil,Chennai,agriculture,39,Rural
I0478,Clinical Assistant Intern,clinical procedures first aid medical research nursing patient care,MBBS,Pune,healthcare,30,SC
I0479,Clinical Assistant Intern,clinical procedures first aid medical research nursing,MBBS,Hyderabad,healthcare,44,EWS
I0480,Sales & Growth Intern,digital marketing market research social media,B.Des,Mumbai,marketing,30,
I0481,Mechanical Design Intern,cad electrical circuits mechanical design production planning,B.Tech Mechanical,Hyderabad,manufacturing,11,ST
I0482,Agriculture Field Intern,irrigation planning organic farming,B.Sc Agriculture,Kolkata,agriculture,7,
I0483,QA Intern,java nodejs react,B.Sc CS,Delhi,software,12,Rural
I0484,Patient Care Intern,clinical procedures first aid medical research nursing patient care,BDS,Bangalore,healthcare,7,ST
I0485,Patient Care Intern,clinical procedures first aid medical research nursing patient care,BDS,Bangalore,healthcare,41,EWS
I0486,Backend Developer Intern,javascript sql spring boot,BCA,Mumbai,software,33,SC
I0487,Paralegal Intern,case summaries contract review drafting legal research,LLB,Delhi,law,34,Rural
I0488,Teaching Assistant Intern,content writing curriculum design instructional design,BDS,Kolkata,education,17,ST
I0489,Legal Research Intern,case summaries contract review drafting legal research,LLB,Bangalore,law,44,Rural
I0490,Patient Care Intern,clinical procedures medical research nursing patient care,M.Sc Nursing,Kolkata,healthcare,38,EWS
I0491,Graphic Design Intern,figma illustrator photoshop uiux design video editing,B.Tech Mechanical,Bangalore,design,19,ST
I0492,AgriTech Intern,farm analytics irrigation planning organic farming soil testing,B.Sc Agriculture,Mumbai,agriculture,33,Rural
I0493,Risk Analyst Intern,budgeting excel,BBA,Hyderabad,finance,44,ST
I0494,Data Analyst Intern,etl excel power bi sql statistics,M.Tech,Hyderabad,data science,48,Rural
I0495,UI/UX Intern,figma illustrator photoshop uiux design video editing,B.Des,Delhi,design,47,SC
I0496,Production Intern,cad electrical circuits,B.Tech ECE,Bangalore,manufacturing,28,SC
I0497,Patient Care Intern,clinical procedures first aid medical research nursing patient care,MBBS,Chennai,healthcare,5,Rural
I0498,Agriculture Field Intern,farm analytics organic farming,B.Sc Agriculture,Chennai,agriculture,34,SC
I0499,Risk Analyst Intern,excel risk analysis,B.Com,Jaipur,finance,14,EWS
I0500,Contract Review Intern,case summaries contract review,LLB,Kolkata,law,45,SC
